hastalik_ismi;semptom_1;semptom_2;semptom_3;semptom_4;semptom_5;semptom_6;semptom_7;semptom_8;semptom_9;semptom_10
addison_hastalığı;karın ağrısı;kilo kaybı;koyu cilt;;;;;;;
ağız_kanseri;iyileşmeyen ağız yarası;ağız içinde yumru;boyunda yumru;gevşek diş;yutma güçlüğü;ağız kokusu;ağızda uyuşma;;;
akciğer_kanseri;nefes darlığı;hırıltı;öksürük;kanlı balgam;iştahsızlık;göğüs ağrısı;kısık ses;yutma güçlüğü;;
akdeniz_anemisi;kansızlık;düzensiz kalp ritmi;nefes darlığı;;;;;;;
alerji;gözde kızarıklık;kaşıntı;ciltte döküntü;burun akıntısı;nefes darlığı;şişkinlik;hapşırma;;;
alzheimer;hafıza kaybı;halüsinasyon;konuşma güçlüğü;hareketlerde zorlanma;bulanık bilinç;ruh hali değişimleri;;;;
anafilaksi;ciltte kaşıntı;şiş boğaz;uyuşma;nefes darlığı;baş dönmesi;düşük tansiyon;;;;
anoreksiya;kilo kaybı;düşük tansiyon;karın ağrısı;baş dönmesi;sürekli diyet yapma;yavaş yemek;açlık reddi;öğün atlamak;;
apandisit;alt karın ağrısı;kusma;iştahsızlık;;;;;;;
astım;öksürük;hırıltı;göğüste baskı;nefes darlığı;;;;;;
bağırsak_polipleri;rektal kanama;dışkı rengide değişiklik;dışkıda kan;kabız;ishal;nefes darlığı;kansızlık;;;
bel_fıtığı;bel ağrısı;bacak ağrısı;uyuşma;kas güçsüzlüğü;idrar kaçırma;;;;;
beyin_iltihabı;ateş;baş ağrısı;ense ağrısı;bulanık bilinç;hareketlerde yavaşlama;duyu kaybı;;;;
beyin_kanaması;baş ağrısı;uyuşma;felç;kusma;bulanık bilinç;baş dönmesi;;;;
boyun_fıtığı;yürüme güçlüğü;uyuşma;kol ağrısı;;;;;;;
böbrek_kanseri;idrarda kan;şiş bel;şiş karın;kansızlık;ateş;böbrekte yumru;iştahsızlık;;;
böbrek_taşları;bel ağrısı;alt karın ağrısı;idrarda yanma;kusma;kötü kokulu idrar;idrarda kan;;;;
böbrek_yetmezliği;şiş ayak;iştahsızlık;uykusuzluk;şiş göz;sık idrar;kramp;baş ağrısı;yüksek tansiyon;;
bronşit;öksürük;balgam;göğüs ağrısı;ateş;nefes darlığı;;;;;
cilt_kanseri;iyileşmeyen yara;ben sayısında artış;asimetrik ben;ben kanaması;kırmızı kahverengi lekeler;ciltte kaşıntı;;;;
crohn_hastalığı;kanlı ishal;karın ağrısı;bağırsak tıkanması;ateş;iştahsızlık;sık idrar;;;;
cushing_hastalığı;yağ artışı;yüksek tansiyon;kırmızı çatlaklar;kırmızı yüz;akne;hassas cilt;;;;
distoni;kramp;boynun istemsiz dönmesi;ayakların istemsiz dönmesi;gözlerin ani ve aşırı kırpılması;konuşma güçlüğü;;;;;
diyabet;kilo kaybı;bulanık görme;iyileşmeyen yara;ciltte kuruluk;ağızda aseton kokusu;sık idrar;sussuzluk;açlık;uyuşma;
dizanteri;karın ağrısı;kusma;ateş;kanlı ishal;;;;;;
düşük_tansiyon;göz kararması;bayılma;terleme;;;;;;;
egzama;ciltte kaşıntı;ciltte döküntü;ciltte yanma;ciltte kabarcık;;;;;;
epilepsi;bulanık bilinç;kasılma;bulantı;gözlerin ani ve aşırı kırpılması;bayılma;titreme;diş kenetlenme;ağızda köpük;hareketlerde zorlanma;duyu kaybı
farenjit;boğaz ağrısı;ateş;burun akıntısı;öksürük;baş ağrısı;kısık ses;yutma güçlüğü;;;
frengi;çıban;ağrısız yara;ciltte döküntü;şiş lenf bezi;;;;;;
gastrit;mide ekşimesi;karın ağrısı;bulantı;gaz;iştahsızlık;;;;;
göz_kanseri;göz çevresinde basınç;görme kaybı;şiş göz;iris renginde değişiklik;gözde kitle;;;;;
grip;ateş;öksürük;hapşırma;burun akıntısı;tıkanık burun;boğaz ağrısı;;;;
guatr;öksürük;kısık ses;yutma güçlüğü;hırıltı;baş dönmesi;nefes darlığı;şiş tiroid bezi;;;
guillain_barre_sendromu;kas güçsüzlüğü;uyuşma;hareketlerde zorlanma;yutma güçlüğü;nefes darlığı;;;;;
gut;şiş eklem;eklem ağrısı;idrarda kan;idrarda taş;;;;;;
hepatit_a;bulantı;ishal;koyu renkli idrar;ciltte sarılık;karın ağrısı;;;;;
hepatit_b;ciltte sarılık;koyu renkli idrar;karın ağrısı;;;;;;;
herpes_simpleks;deride su toplanması;kaşıntı;ateş;;;;;;;
idrar_yolu_enfeksiyonu;idrarda acı;idrarda yanma;sık idrar;kasık ağrısı;kötü kokulu idrar;bulantı;idrar yapamama;;;
ishal;sıvı dışkı;sussuzluk;bulantı;ateş;karın ağrısı;gaz;;;;
kabakulak;şiş lenf bezi;baş ağrısı;ateş;şiş yanak;iştahsızlık;;;;;
kaçış_sendromu;düşük kan basıncı;yoğun kan;akciğer sıvısı;şişkinlik;böbrek yetmezliği;felç;kalp yetmezliği;;;
kalp_krizi;göğüs ağrısı;bulantı;terleme;baş dönmesi;nefes darlığı;düzensiz kalp ritmi;;;;
katarakt;ışık hassasiyeti;baş ağrısı;bulanık görme;gece görüşünde düşüş;;;;;;
kemik_erimesi;boyda kısalma;kamburluk;kemik kırıkları;;;;;;;
kırım_kongo_kanamalı_ateşi;ateş;kas ağrısı;baş ağrısı;kusma;ishal;;;;;
konjonktivit;gözde kızarıklık;göz kaşıntısı;bulanık görme;şiş göz kapağı;artan gözyaşı;;;;;
koronavirüs;ateş;öksürük;nefes darlığı;tıkanık burun;boğaz ağrısı;;;;;
kronik_obstrüktif_akciğer_hastalığı;nefes darlığı;hırıltı;göğüste baskı;ciltte mavilik;şiş akciğer;balgam;öksürük;;;
kuduz;ateş;su korkusu;halüsinasyon;uykusuzluk;tükürük salgısında artış;bulanık bilinç;felç;yutma güçlüğü;;
larenjit;ateş;titreme;öksürük;şiş lenf bezi;hırıltı;kısık ses;boğaz ağrısı;;;
lenfoma;şiş lenf bezi;ateş;terleme;kilo kaybı;kaşıntı;;;;;
lupus;şiş eklem;ateş;göğüs ağrısı;saç dökülmesi;şiş lenf bezi;ciltte kırmızılık;;;;
ménière_hastalığı;baş dönmesi;işitme problemleri;çınlama;seslerin derinden gelmesi;;;;;;
menisküs_yırtıkları;diz ağrısı;şiş diz;dizde çıtlama sesi;eklem boşalması;hareketlerde zorlanma;diz kilitlenmesi;;;;
migren;baş ağrısı;bulantı;ışık hassasiyeti;ses hassasiyeti;koku hassasiyeti;görme kaybı;;;;
myastenia_gravis;sarkık göz kapakları;çift görme;bulanık görme;yürüme güçlüğü;kas güçsüzlüğü;;;;;
narkolepsi;uyku atakları;uyku felci;donuk bakış;halüsinasyon;gündüz uyku hali;;;;;
nazofarenks_kanseri;tıkanık burun;burun kanaması;orta kulak enfeksiyonu;kulak uğultusu;tıkanık kulak;boyunda yumru;;;;
nezle;ateş;burun akıntısı;hapşırma;boğaz ağrısı;;;;;;
omuz_çıkığı;omuz ağrısı;omuz hareketlerinin kısıtlanması;omuzda şekil bozukluğu;omuz morarması;;;;;;
orta_kulak_iltihabı;kulak ağrısı;tıkanık kulak;kulak akıntısı;işitme problemleri;kulak uğultusu;ateş;;;;
pankreas_kanseri;ciltte sarılık;karın ağrısı;sırt ağrısı;kilo kaybı;koyu renkli idrar;iştahsızlık;açık renkli dışkı;;;
parkinson;titreme;yürüme güçlüğü;kamburluk;hareketlerde zorlanma;;;;;;
reflü;mide ekşimesi;ağız kokusu;göğüs ağrısı;midedeki gıdaların ağza gelmesi;kilo kaybı;şiş mide;boğazda yanma;dişlerde çürüme;;
saçkıran;kafada bölgesel saç kaybı;saç dökülmesi;;;;;;;;
sinüzit;burun akıntısı;göz çevresinde basınç;yüz ağrısı;tıkanık burun;ateş;;;;;
siroz;kaşıntı;şiş bacak;ciltte sarılık;kolay morarma;karında sıvı;;;;;
sistit;idrarda yanma;sık idrar;kasık ağrısı;idrarda kan;koyu renkli idrar;kötü kokulu idrar;;;;
tetanoz;kramp;kasılma;yutma güçlüğü;nöbet;ateş;terleme;kötü kokulu idrar;kalp atış hızında artış;baş ağrısı;
tonsilit;boğaz ağrısı;ateş;şiş bademcik;yutma güçlüğü;şiş lenf bezi;;;;;
tüberküloz;sırt ağrısı;göğüs ağrısı;terleme;kilo kaybı;şiş lenf bezi;kanlı öksürük;;;;
uyku_apnesi;uykuda huzursuzluk;horlama;sık idrar;terleme;kuru ağız;solunum durması;;;;
ürtiker;kaşıntı;şiş dudak;şiş göz kapağı;ciltte kırmızlık;;;;;;
yüksek_tansiyon;baş ağrısı;burun kanaması;bulanık görme;göğüs ağrısı;nefes darlığı;düzensiz kalp ritmi;idrarda kan;göğüste baskı;;
